Date,HomeTeam,AwayTeam,xG_Home,xG_Away,P_Home,P_Draw,P_Away,Prediction,Actual,Correct
2023-10-21,Hoffenheim,Ein Frankfurt,2.07,1.62,0.484,0.211,0.305,H,A,False
2023-10-21,Union Berlin,Stuttgart,1.65,2.02,0.32,0.214,0.466,A,A,True
2023-10-21,Wolfsburg,Leverkusen,2.72,2.06,0.522,0.181,0.295,H,A,False
2023-10-21,Mainz,Bayern Munich,2.72,2.31,0.478,0.18,0.339,H,A,False
2023-10-22,Heidenheim,Augsburg,1.96,1.51,0.482,0.219,0.299,H,A,False
2023-10-22,FC Koln,M'gladbach,1.59,1.67,0.368,0.231,0.401,A,H,False
2023-10-27,Bochum,Mainz,1.6,1.5,0.403,0.238,0.36,H,D,False
2023-10-28,RB Leipzig,FC Koln,1.8,2.06,0.344,0.21,0.446,A,H,False
2023-10-28,Werder Bremen,Union Berlin,1.87,1.38,0.489,0.225,0.285,H,H,True
2023-10-28,Stuttgart,Hoffenheim,1.95,1.48,0.486,0.22,0.294,H,A,False
2023-10-28,Augsburg,Wolfsburg,2.33,1.46,0.57,0.196,0.234,H,H,True
2023-10-28,Bayern Munich,Darmstadt,2.38,2.41,0.402,0.188,0.409,A,H,False
2023-10-28,M'gladbach,Heidenheim,1.88,2.42,0.304,0.193,0.502,A,H,False
2023-10-29,Leverkusen,Freiburg,2.02,1.85,0.429,0.21,0.36,H,H,True
2023-10-29,Ein Frankfurt,Dortmund,2.72,2.26,0.487,0.181,0.33,H,D,False
2023-11-03,Darmstadt,Bochum,1.63,1.41,0.427,0.24,0.333,H,A,False
2023-11-04,Union Berlin,Ein Frankfurt,2.08,2.05,0.403,0.203,0.393,H,A,False
2023-11-04,Dortmund,Bayern Munich,2.72,2.46,0.452,0.179,0.366,H,A,False
2023-11-04,Mainz,RB Leipzig,2.72,2.04,0.527,0.181,0.29,H,H,True
2023-11-04,Hoffenheim,Leverkusen,2.67,1.69,0.587,0.179,0.233,H,A,False
2023-11-04,Freiburg,M'gladbach,1.63,2.01,0.317,0.214,0.468,A,D,False
2023-11-04,FC Koln,Augsburg,1.71,1.69,0.391,0.227,0.383,H,D,False
2023-11-05,Wolfsburg,Werder Bremen,1.73,2.05,0.331,0.211,0.458,A,D,False
2023-11-05,Heidenheim,Stuttgart,1.82,1.5,0.454,0.226,0.319,H,H,True
2023-11-10,M'gladbach,Wolfsburg,2.72,2.07,0.521,0.181,0.296,H,H,True
2023-11-11,Augsburg,Hoffenheim,1.85,1.4,0.481,0.226,0.292,H,D,False
2023-11-11,Bayern Munich,Heidenheim,2.38,2.41,0.4,0.188,0.41,A,H,False
2023-11-11,Darmstadt,Mainz,1.82,1.5,0.453,0.227,0.321,H,D,False
2023-11-11,Stuttgart,Dortmund,2.49,1.68,0.554,0.189,0.256,H,H,True
2023-11-11,Bochum,FC Koln,1.57,1.53,0.39,0.238,0.372,H,D,False
2023-11-12,RB Leipzig,Freiburg,2.07,2.05,0.403,0.204,0.393,H,H,True
2023-11-12,Leverkusen,Union Berlin,2.13,1.83,0.455,0.206,0.338,H,H,True
2023-11-12,Werder Bremen,Ein Frankfurt,1.98,1.4,0.51,0.218,0.272,H,D,False
2023-11-24,FC Koln,Bayern Munich,2.62,2.05,0.506,0.185,0.307,H,A,False
2023-11-25,Dortmund,M'gladbach,2.23,2.01,0.44,0.2,0.359,H,H,True
2023-11-25,Freiburg,Darmstadt,1.78,2.41,0.285,0.193,0.521,A,D,False
2023-11-25,Union Berlin,Augsburg,1.77,2.03,0.344,0.211,0.445,A,D,False
2023-11-25,Werder Bremen,Leverkusen,2.55,1.45,0.611,0.182,0.206,H,A,False
2023-11-25,Wolfsburg,RB Leipzig,2.72,2.11,0.514,0.181,0.303,H,H,True
2023-11-25,Ein Frankfurt,Stuttgart,1.72,2.02,0.335,0.213,0.452,A,A,True
2023-11-26,Heidenheim,Bochum,1.63,1.41,0.429,0.24,0.332,H,D,False
2023-11-26,Hoffenheim,Mainz,1.65,1.6,0.394,0.232,0.374,H,D,False
2023-12-01,Darmstadt,FC Koln,1.78,1.53,0.439,0.228,0.333,H,A,False
2023-12-02,Bochum,Wolfsburg,2.55,1.54,0.593,0.183,0.222,H,H,True
2023-12-02,M'gladbach,Hoffenheim,2.18,1.99,0.434,0.202,0.364,H,H,True
2023-12-02,RB Leipzig,Heidenheim,2.0,2.42,0.326,0.193,0.48,A,H,False
2023-12-02,Stuttgart,Werder Bremen,1.56,1.57,0.38,0.237,0.383,A,H,False
2023-12-03,Mainz,Freiburg,1.9,1.92,0.39,0.212,0.398,A,A,True
2023-12-03,Leverkusen,Dortmund,2.72,2.04,0.527,0.181,0.291,H,D,False
2023-12-03,Augsburg,Ein Frankfurt,1.85,1.44,0.471,0.226,0.303,H,H,True
2023-12-08,Hoffenheim,Bochum,1.48,1.5,0.372,0.244,0.384,A,H,False
2023-12-09,Dortmund,RB Leipzig,2.72,2.17,0.502,0.181,0.314,H,A,False
2023-12-09,Wolfsburg,Freiburg,1.93,1.99,0.383,0.209,0.407,A,A,True
2023-12-09,Werder Bremen,Augsburg,1.69,1.38,0.447,0.237,0.316,H,H,True
2023-12-09,Heidenheim,Darmstadt,1.99,1.79,0.432,0.213,0.355,H,H,True
2023-12-09,Ein Frankfurt,Bayern Munich,2.72,2.46,0.452,0.179,0.366,H,H,True
2023-12-09,Union Berlin,M'gladbach,1.65,2.01,0.322,0.214,0.464,A,H,False
2023-12-10,Stuttgart,Leverkusen,2.5,1.58,0.576,0.187,0.235,H,D,False
2023-12-10,FC Koln,Mainz,1.59,1.68,0.365,0.231,0.403,A,D,False
2023-12-15,M'gladbach,Werder Bremen,1.75,2.12,0.325,0.208,0.467,A,D,False
2023-12-16,RB Leipzig,Hoffenheim,2.32,1.99,0.461,0.197,0.342,H,H,True
2023-12-16,Augsburg,Dortmund,2.37,1.59,0.549,0.195,0.255,H,D,False
2023-12-16,Bochum,Union Berlin,1.91,1.51,0.472,0.221,0.307,H,H,True
2023-12-16,Darmstadt,Wolfsburg,2.72,1.54,0.623,0.173,0.201,H,A,False
2023-12-16,Mainz,Heidenheim,1.83,2.27,0.317,0.2,0.482,A,A,True
2023-12-17,Bayern Munich,Stuttgart,2.18,2.01,0.432,0.201,0.366,H,H,True
2023-12-17,Leverkusen,Ein Frankfurt,2.25,1.85,0.476,0.201,0.323,H,H,True
2023-12-17,Freiburg,FC Koln,1.6,2.06,0.302,0.212,0.485,A,H,False
2023-12-19,Werder Bremen,RB Leipzig,2.58,1.48,0.611,0.18,0.208,H,D,False
2023-12-19,Dortmund,Mainz,2.22,2.02,0.437,0.2,0.362,H,D,False
2023-12-19,Hoffenheim,Darmstadt,1.8,1.91,0.37,0.215,0.415,A,D,False
2023-12-20,Union Berlin,FC Koln,1.62,2.06,0.307,0.212,0.481,A,H,False
2023-12-20,Ein Frankfurt,M'gladbach,1.73,2.01,0.337,0.213,0.45,A,H,False
2023-12-20,Heidenheim,Freiburg,2.06,1.52,0.502,0.213,0.285,H,H,True
2023-12-20,Leverkusen,Bochum,1.6,1.71,0.363,0.229,0.408,A,H,False
2023-12-20,Stuttgart,Augsburg,1.65,1.51,0.414,0.235,0.351,H,H,True
2023-12-20,Wolfsburg,Bayern Munich,2.72,2.39,0.464,0.18,0.353,H,A,False
2024-01-12,Bayern Munich,Hoffenheim,2.72,1.99,0.537,0.18,0.281,H,H,True
2024-01-13,Augsburg,Leverkusen,2.38,1.5,0.571,0.193,0.235,H,A,False
2024-01-13,FC Koln,Heidenheim,1.74,2.02,0.338,0.212,0.449,A,D,False
2024-01-13,Freiburg,Union Berlin,1.94,2.03,0.379,0.208,0.413,A,D,False
2024-01-13,Mainz,Wolfsburg,2.67,1.94,0.536,0.182,0.279,H,D,False
2024-01-13,RB Leipzig,Ein Frankfurt,2.31,2.05,0.449,0.196,0.354,H,A,False
2024-01-13,Darmstadt,Dortmund,2.72,1.68,0.595,0.176,0.226,H,A,False
