Date,HomeTeam,AwayTeam,xG_Home,xG_Away,P_Home,P_Draw,P_Away,Prediction,Actual,Correct
2024-05-11,M'gladbach,Ein Frankfurt,2.17,2.05,0.422,0.201,0.377,H,D,False
2024-05-11,RB Leipzig,Werder Bremen,1.86,2.12,0.347,0.206,0.446,A,D,False
2024-05-11,Mainz,Dortmund,2.71,2.12,0.511,0.181,0.306,H,H,True
2024-05-12,Darmstadt,Hoffenheim,2.29,1.48,0.558,0.198,0.243,H,A,False
2024-05-12,Bayern Munich,Wolfsburg,2.72,2.06,0.523,0.181,0.294,H,H,True
2024-05-12,Bochum,Leverkusen,2.6,1.59,0.594,0.181,0.223,H,A,False
2024-05-18,Union Berlin,Freiburg,1.86,2.05,0.36,0.209,0.431,A,H,False
2024-05-18,Wolfsburg,Mainz,1.7,1.96,0.341,0.216,0.443,A,A,True
2024-05-18,Werder Bremen,Bochum,1.41,1.29,0.397,0.258,0.345,H,H,True
2024-05-18,Stuttgart,M'gladbach,1.54,1.49,0.39,0.241,0.368,H,H,True
2024-05-18,Dortmund,Darmstadt,2.43,2.41,0.408,0.187,0.404,H,H,True
2024-05-18,Hoffenheim,Bayern Munich,2.71,1.95,0.541,0.18,0.276,H,H,True
2024-05-18,Heidenheim,FC Koln,1.78,1.53,0.44,0.228,0.332,H,H,True
2024-05-18,Ein Frankfurt,RB Leipzig,2.72,2.17,0.502,0.181,0.314,H,D,False
2024-05-18,Leverkusen,Augsburg,1.92,1.83,0.411,0.214,0.375,H,H,True
